Orthogroup	HART001	HART027	HART058	HART060	HART061	HART062	HART063	HART067	HART068	N1523	N9750	Total
OG0000104	6	5	6	6	5	6	6	6	6	6	6	64
OG0000105	6	6	6	5	6	6	6	6	6	5	5	63
OG0000106	6	6	6	4	6	6	6	5	5	8	5	63
OG0000107	7	7	5	6	5	5	7	7	5	4	5	63
OG0000108	6	6	6	5	6	6	6	5	4	7	5	62
OG0000109	7	5	7	5	5	5	7	7	5	3	6	62
OG0000110	7	7	6	5	5	7	7	4	6	5	3	62
OG0000111	8	4	6	6	6	5	7	7	6	3	4	62
OG0000112	6	6	6	5	6	6	6	6	5	4	5	61
OG0000113	7	4	8	4	7	7	8	7	3	2	4	61
OG0000114	6	6	5	5	6	5	6	6	4	7	5	61
OG0000115	7	6	5	3	6	6	8	8	3	5	3	60
OG0000116	6	6	6	6	6	6	5	5	6	3	5	60
OG0000117	6	6	6	5	6	6	6	5	5	5	4	60
OG0000118	7	4	3	1	5	4	7	7	1	18	3	60
OG0000119	5	5	5	5	5	5	5	5	5	9	5	59
OG0000120	7	2	7	8	6	7	7	5	5	1	4	59
OG0000121	7	6	7	4	6	6	8	5	4	2	4	59
OG0000122	8	6	4	4	5	6	8	8	4	0	5	58
OG0000123	6	5	4	5	6	4	6	6	5	6	5	58
OG0000124	6	6	6	5	6	6	6	4	4	4	5	58
OG0000125	6	5	6	5	6	6	5	6	5	3	5	58
OG0000126	3	3	5	5	5	5	6	4	5	12	5	58
OG0000127	5	7	5	5	6	6	5	5	5	4	5	58
OG0000128	6	8	4	6	4	3	11	4	5	2	5	58
OG0000129	11	7	4	3	5	5	8	11	2	0	1	57
OG0000130	6	6	6	3	6	6	6	6	3	5	4	57
OG0000131	5	5	4	6	5	5	5	5	4	8	5	57
OG0000132	6	5	5	5	4	4	6	6	6	3	6	56
OG0000133	4	6	8	4	6	7	7	5	3	3	3	56
OG0000134	6	5	5	3	5	6	8	5	3	5	5	56
OG0000135	5	5	5	5	5	5	5	5	4	7	5	56
OG0000136	6	9	7	1	7	7	6	7	0	6	0	56
OG0000137	5	5	6	4	5	5	6	6	4	6	4	56
OG0000138	6	4	6	5	6	6	7	6	4	2	4	56
OG0000139	5	5	4	6	4	4	6	5	6	4	6	55
OG0000140	5	6	4	5	4	3	8	6	4	5	5	55
OG0000141	7	7	3	4	5	4	7	6	5	3	4	55
OG0000142	5	6	6	4	4	5	5	5	5	6	4	55
OG0000143	5	5	5	5	4	5	5	5	5	5	6	55
OG0000144	6	5	7	4	5	6	6	6	5	2	3	55
OG0000145	6	5	6	3	5	5	7	7	3	4	3	54
OG0000146	5	5	5	5	5	5	6	5	5	3	5	54
OG0000147	6	6	4	5	5	5	6	5	5	3	4	54
OG0000148	6	4	5	5	5	5	6	5	5	3	5	54
OG0000149	5	5	5	5	5	5	6	5	5	3	5	54
OG0000150	4	5	5	5	5	5	5	5	6	4	5	54
OG0000151	6	5	6	4	5	6	6	6	4	2	4	54
OG0000152	6	5	6	3	4	6	6	6	4	3	4	53
OG0000153	5	5	5	5	5	5	5	5	5	3	5	53
OG0000154	5	4	4	3	7	4	7	5	4	7	3	53
OG0000155	5	5	5	5	5	4	5	5	5	4	5	53
