Morus	tissue	TPM_bato
Morus_000135-R1	YL	100.375643
Morus_000136-R2	ML	70.76815
Morus_000136-R2	YL	167.940985
Morus_000137-R1	ML	52.983538
Morus_000137-R1	YL	237.630142
Morus_000138-R1	ML	553.275053
Morus_000138-R1	YL	104.951214
Morus_000139-R1	ML	31.344883
Morus_000139-R1	YL	6.517855
Morus_000140-R1	ML	194.87581
Morus_000140-R1	YL	281.524586
Morus_000142-R1	ML	124.515163
Morus_000142-R1	YL	258.845321
Morus_000144-R1	ML	1.809515
Morus_000144-R1	YL	0
Morus_000146-R1	ML	135.774173
Morus_000146-R1	YL	50.620191
Morus_000148-R3	ML	16.061985
Morus_000148-R3	YL	32.500081
Morus_000149-R1	ML	16.478578
Morus_000149-R1	YL	35.336355
Morus_000150-R1	ML	0
Morus_000150-R1	YL	0
Morus_000151-R1	ML	0
Morus_000151-R1	YL	0
Morus_000152-R1	ML	11.712549
Morus_000152-R1	YL	70.325282
Morus_000153-R1	ML	13.39387
Morus_000153-R1	YL	16.913811
Morus_000155-R1	ML	0
Morus_000155-R1	YL	9.789793
Morus_000156-R1	ML	0.975114
Morus_000156-R1	YL	49.069165
Morus_000157-R1	ML	0
Morus_000157-R1	YL	0
Morus_000158-R1	ML	21.022303
Morus_000158-R1	YL	22.19315
Morus_000159-R1	ML	0
Morus_000159-R1	YL	0
Morus_000160-R1	ML	20.928633
Morus_000160-R1	YL	18.732092
Morus_000161-R1	ML	0
Morus_000161-R1	YL	0
Morus_000164-R1	ML	0
Morus_000164-R1	YL	115.180161
Morus_000165-R1	ML	34.697005
Morus_000165-R1	YL	36.018979
Morus_000166-R1	ML	20.662178
Morus_000166-R1	YL	119.028785
Morus_000167-R1	ML	2.008688
Morus_000167-R1	YL	0
Morus_000169-R1	ML	36.094665
Morus_000169-R1	YL	32.640307
Morus_000171-R1	ML	139.747954
Morus_000171-R1	YL	78.965194
Morus_000172-R1	ML	0
Morus_000172-R1	YL	0
Morus_000173-R1	ML	0
Morus_000173-R1	YL	1.065078
Morus_000174-R1	ML	6.372288
Morus_000174-R1	YL	8.502428
Morus_000175-R1	ML	1.496876
Morus_000175-R1	YL	2.567898
Morus_000176-R1	ML	105.825867
Morus_000176-R1	YL	174.600478
Morus_000180-R1	ML	0
Morus_000180-R1	YL	0
Morus_000182-R1	ML	2.793844
Morus_000182-R1	YL	18.106333
Morus_000183-R1	ML	0
Morus_000183-R1	YL	0
Morus_000186-R1	ML	0
Morus_000186-R1	YL	0
Morus_000187-R1	ML	1.186321
Morus_000187-R1	YL	1.35676
Morus_000190-R1	ML	0
Morus_000190-R1	YL	0
Morus_000191-R1	ML	29.234689
Morus_000191-R1	YL	125.551231
Morus_000193-R1	ML	2.261893
Morus_000193-R1	YL	0
Morus_000194-R1	ML	0
Morus_000194-R1	YL	0
Morus_000195-R1	ML	27.400373
Morus_000195-R1	YL	47.453152
Morus_000196-R2	ML	0
Morus_000196-R2	YL	0
Morus_000199-R1	ML	10.014127
Morus_000199-R1	YL	8.589643
Morus_000201-R1	ML	10.598826
Morus_000201-R1	YL	4.545585
Morus_000205-R1	ML	0
Morus_000205-R1	YL	0
Morus_000207-R1	ML	0
Morus_000207-R1	YL	0
Morus_000211-R1	ML	1.157503
Morus_000211-R1	YL	1.323802
Morus_000212-R1	ML	1.996532
Morus_000212-R1	YL	0
Morus_000213-R1	ML	0
Morus_000213-R1	YL	0
Morus_000214-R1	ML	0
Morus_000214-R1	YL	11.366596
Morus_000215-R1	ML	53.851654
Morus_000215-R1	YL	33.593741
Morus_000216-R2	ML	0
Morus_000216-R2	YL	0
Morus_000217-R1	ML	12.744576
Morus_000217-R1	YL	23.078018
Morus_000218-R1	ML	0
Morus_000218-R1	YL	13.12416
Morus_000221-R1	ML	0
Morus_000221-R1	YL	0
Morus_000222-R1	ML	0
Morus_000222-R1	YL	0
Morus_000223-R1	ML	0
Morus_000223-R1	YL	0
Morus_000224-R1	ML	0
Morus_000224-R1	YL	0
Morus_000226-R1	ML	0
Morus_000226-R1	YL	0
Morus_000228-R1	ML	0
Morus_000228-R1	YL	0
Morus_000230-R1	ML	0.85141
Morus_000230-R1	YL	8.763585
Morus_000231-R1	ML	0.989285
Morus_000231-R1	YL	1.131415
Morus_000233-R1	ML	0
Morus_000233-R1	YL	0
Morus_000234-R1	ML	0
Morus_000234-R1	YL	1.850127
Morus_000235-R1	ML	21.608972
Morus_000235-R1	YL	0
Morus_000236-R1	ML	0
Morus_000236-R1	YL	0
Morus_000237-R1	ML	0
Morus_000237-R1	YL	0
Morus_000238-R1	ML	0
Morus_000238-R1	YL	0
Morus_000240-R1	ML	0
Morus_000240-R1	YL	0
Morus_000241-R1	ML	0
Morus_000241-R1	YL	0
Morus_000242-R1	ML	0
Morus_000242-R1	YL	0
Morus_000243-R1	ML	0
