Morus	tissue	A	B	total_AB	log2_BA
Morus_000020-R2	FF	3.746786	0	3.746786	-2.246951010016333
Morus_000020-R2	FR	2.550366	0	2.550366	-1.8279677567771642
Morus_000020-R2	MF	1.148216	0	1.148216	-1.1031390615084886
Morus_000020-R2	ML	4.193429	0	4.193429	-2.3766874032822924
Morus_000020-R2	SD	4.725374	0	4.725374	-2.517369937807266
Morus_000020-R2	YL	6.555425	0	6.555425	-2.9175129106709834
Morus_000026-R2	FF	9.034648	0	9.034648	-3.3269181049549865
Morus_000026-R2	FR	8.199619	0	8.199619	-3.201574113540022
Morus_000026-R2	MF	25.102877	0	25.102877	-4.7061369210268715
Morus_000026-R2	ML	18.875066	0	18.875066	-4.312887746112763
Morus_000026-R2	SD	14.584737	0	14.584737	-3.9620619038771268
Morus_000026-R2	YL	8.430474	0	8.430474	-3.2373302863047595
Morus_000027-R1	FF	0	2.05649	2.05649	1.6118758470065675
Morus_000027-R1	FR	0	3.732838	3.732838	2.2427055410079237
Morus_000027-R1	MF	0	241.163706	241.163706	7.919838848789614
Morus_000027-R1	ML	0	535.514623	535.514623	9.067473682736171
Morus_000027-R1	SD	0	0	0	0
Morus_000027-R1	YL	0	11.193972	11.193972	3.608096233257993
Morus_000028-R1	FF	0	0	0	0
Morus_000028-R1	FR	0	0	0	0
Morus_000028-R1	MF	0	0	0	0
Morus_000028-R1	ML	0	0	0	0
Morus_000028-R1	SD	0	0	0	0
Morus_000028-R1	YL	0	0	0	0
Morus_000029-R1	FF	0	0	0	0
Morus_000029-R1	FR	0	0	0	0
Morus_000029-R1	MF	0	0	0	0
Morus_000029-R1	ML	0	0	0	0
Morus_000029-R1	SD	0	0	0	0
Morus_000029-R1	YL	0	0	0	0
Morus_000030-R1	FF	0	0	0	0
Morus_000030-R1	FR	0	0	0	0
Morus_000030-R1	MF	1.037639	1.05235	2.089989	0.010378305795616242
Morus_000030-R1	ML	0	0	0	0
Morus_000030-R1	SD	0	0	0	0
Morus_000030-R1	YL	1.974706	0	1.974706	-1.572747089159567
Morus_000031-R2	FF	0	0	0	0
Morus_000031-R2	FR	0	0	0	0
Morus_000031-R2	MF	0	0	0	0
Morus_000031-R2	ML	0	0	0	0
Morus_000031-R2	SD	2.813944	0	2.813944	-1.9312836607677608
Morus_000031-R2	YL	0	0	0	0
Morus_000032-R1	FF	0	0	0	0
Morus_000032-R1	FR	0	0	0	0
Morus_000032-R1	MF	0	0	0	0
Morus_000032-R1	ML	0	0	0	0
Morus_000032-R1	SD	0	0	0	0
Morus_000032-R1	YL	0	0	0	0
Morus_000034-R2	FF	8.301142	0	8.301142	-3.2174078620903974
Morus_000034-R2	FR	1.883477	0	1.883477	-1.5278095148110977
Morus_000034-R2	MF	1.695943	0	1.695943	-1.430789994113743
Morus_000034-R2	ML	1.54845	0	1.54845	-1.349620048177693
Morus_000034-R2	SD	0	0	0	0
Morus_000034-R2	YL	8.06877	0	8.06877	-3.1809068908603195
Morus_000036-R1	FF	0	76.658178	76.658178	6.279065954320207
Morus_000036-R1	FR	0	6.324821	6.324821	2.872793504167283
Morus_000036-R1	MF	0	35.309442	35.309442	5.1822728539977065
Morus_000036-R1	ML	0	2.079912	2.079912	1.6228891304729993
Morus_000036-R1	SD	0	54.843832	54.843832	5.803326037468468
Morus_000036-R1	YL	0	114.88443	114.88443	6.856542931522518
Morus_000038-R1	FF	0	8.604789	8.604789	3.263753920814565
Morus_000038-R1	FR	0	13.015816	13.015816	3.808983835325076
Morus_000038-R1	MF	0	17.579786	17.579786	4.2156619798955095
Morus_000038-R1	ML	0	12.840722	12.840722	3.790847297880128
Morus_000038-R1	SD	0	5.787838	5.787838	2.7629521336216536
Morus_000038-R1	YL	0	13.382268	13.382268	3.8462192932201322
Morus_000042-R1	FF	8.890211	0	8.890211	-3.30600130009525
Morus_000042-R1	FR	6.051399	2.007309	8.058708	-1.2294364051404716
Morus_000042-R1	MF	3.632582	0	3.632582	-2.2118165132080385
Morus_000042-R1	ML	1.658331	0	1.658331	-1.4105207518403986
Morus_000042-R1	SD	0	0	0	0
Morus_000042-R1	YL	0	0	0	0
Morus_000043-R1	FF	0	1.085598	1.085598	1.060461104503433
Morus_000043-R1	FR	0	29.557828	29.557828	4.933470097521843
Morus_000043-R1	MF	0	14.194568	14.194568	3.9254837527605755
Morus_000043-R1	ML	0	0	0	0
Morus_000043-R1	SD	0	1.095308	1.095308	1.0671623286083276
Morus_000043-R1	YL	0	0	0	0
Morus_000045-R1	FF	0	8.13388	8.13388	3.1912278358579202
Morus_000045-R1	FR	0	0	0	0
Morus_000045-R1	MF	0.830885	3.323542	4.154427	1.2396725274393678
Morus_000045-R1	ML	0	6.068998	6.068998	2.8215057337222937
Morus_000045-R1	SD	10.258294	6.154977	16.413270999999998	-0.6539691940022624
Morus_000045-R1	YL	0	15.812381	15.812381	4.071452151028449
Morus_000046-R1	FF	0	0	0	0
Morus_000046-R1	FR	0	0	0	0
Morus_000046-R1	MF	0	0	0	0
Morus_000046-R1	ML	0	0	0	0
Morus_000046-R1	SD	0	0	0	0
Morus_000046-R1	YL	0	0	0	0
Morus_000047-R1	FF	0	0	0	0
Morus_000047-R1	FR	0	6.766087	6.766087	2.95718786920435
Morus_000047-R1	MF	0	4.569301	4.569301	2.4774962670418677
Morus_000047-R1	ML	0	5.562556	5.562556	2.714257828611278
Morus_000047-R1	SD	0	0	0	0
Morus_000047-R1	YL	0	0	0	0
Morus_000048-R1	FF	0	10.619056	10.619056	3.5384209554162394
Morus_000048-R1	FR	0	3.855035	3.855035	2.2794816960861612
Morus_000048-R1	MF	0	11.28139	11.28139	3.6184019481541396
Morus_000048-R1	ML	0	4.753969	4.753969	2.5245574484552424
Morus_000048-R1	SD	0	32.142122	32.142122	5.050594072246611
Morus_000048-R1	YL	0	13.211904	13.211904	3.8290279434403356
Morus_000049-R1	FF	0	0	0	0
Morus_000049-R1	FR	0	0	0	0
Morus_000049-R1	MF	0	0	0	0
Morus_000049-R1	ML	0	0	0	0
Morus_000049-R1	SD	0	0	0	0
Morus_000049-R1	YL	0	0	0	0
Morus_000050-R1	FF	0	8.455701	8.455701	3.2411844165817216
Morus_000050-R1	FR	0	9.592727	9.592727	3.4050021405837576
Morus_000050-R1	MF	0	3.455039	3.455039	2.155438061345473
Morus_000050-R1	ML	0	6.309121	6.309121	2.8696979170955075
Morus_000050-R1	SD	0	6.398502	6.398502	2.8872331929111916
Morus_000050-R1	YL	0	6.575203	6.575203	2.921284550390096
Morus_000052-R1	FF	0	0	0	0
Morus_000052-R1	FR	0	0	0	0
Morus_000052-R1	MF	0	0	0	0
Morus_000052-R1	ML	0	0	0	0
Morus_000052-R1	SD	0	0	0	0
Morus_000052-R1	YL	0	0	0	0
Morus_000053-R1	FF	0	0	0	0
Morus_000053-R1	FR	0	0	0	0
Morus_000053-R1	MF	0	0	0	0
Morus_000053-R1	ML	0	0	0	0
Morus_000053-R1	SD	0	0	0	0
Morus_000053-R1	YL	0	0	0	0
Morus_000060-R1	FF	7.576042	0	7.576042	-3.100311971215852
Morus_000060-R1	FR	2.291942	2.291942	4.583884	0
Morus_000060-R1	MF	0	0	0	0
Morus_000060-R1	ML	1.884258	3.768516	5.652774	0.7253401369559122
Morus_000060-R1	SD	2.547936	0	2.547936	-1.8269799855929258
Morus_000060-R1	YL	1.963725	5.891174	7.8548990000000005	1.2173381973488515
Morus_000063-R1	FF	0	0	0	0
Morus_000063-R1	FR	0	0	0	0
Morus_000063-R1	MF	0	0	0	0
Morus_000063-R1	ML	0	0	0	0
Morus_000063-R1	SD	0	0	0	0
Morus_000063-R1	YL	0	0	0	0
Morus_000064-R2	FF	0	0	0	0
Morus_000064-R2	FR	0	0	0	0
Morus_000064-R2	MF	0	0	0	0
Morus_000064-R2	ML	0	0	0	0
Morus_000064-R2	SD	0	0	0	0
Morus_000064-R2	YL	0	0	0	0
Morus_000066-R1	FF	0	0	0	0
Morus_000066-R1	FR	0	0	0	0
Morus_000066-R1	MF	0	0	0	0
Morus_000066-R1	ML	0	0	0	0
Morus_000066-R1	SD	0	0	0	0
Morus_000066-R1	YL	0	0	0	0
Morus_000067-R3	FF	93.486269	17.818434	111.30470299999999	-2.327958110870736
Morus_000067-R3	FR	83.598048	18.659494	102.257542	-2.1053981854638284
Morus_000067-R3	MF	71.903867	14.561392	86.465259	-2.228024222394606
Morus_000067-R3	ML	3.077368	2.045387	5.122755	-0.4210125983541165
Morus_000067-R3	SD	398.096348	34.572722	432.66907	-3.4878937995201116
Morus_000067-R3	YL	106.905099	15.987367	122.89246600000001	-2.6672288794608305
Morus_000068-R1	FF	0	5.395742	5.395742	2.677111742628766
Morus_000068-R1	FR	2.44852	2.44852	4.89704	0
Morus_000068-R1	MF	0	2.204726	2.204726	1.6802010135243661
Morus_000068-R1	ML	0	0	0	0
Morus_000068-R1	SD	0	0	0	0
Morus_000068-R1	YL	0	0	0	0
Morus_000069-R1	FF	0	0	0	0
Morus_000069-R1	FR	0	0	0	0
Morus_000069-R1	MF	0	0	0	0
Morus_000069-R1	ML	0	0	0	0
Morus_000069-R1	SD	0	0	0	0
Morus_000069-R1	YL	0	0	0	0
Morus_000070-R1	FF	0	0	0	0
Morus_000070-R1	FR	0	0	0	0
Morus_000070-R1	MF	0	0	0	0
Morus_000070-R1	ML	0	0	0	0
Morus_000070-R1	SD	0	0	0	0
Morus_000070-R1	YL	0	0	0	0
Morus_000071-R1	FF	0	0	0	0
Morus_000071-R1	FR	0	0	0	0
Morus_000071-R1	MF	0	0	0	0
Morus_000071-R1	ML	0	0	0	0
Morus_000071-R1	SD	0	0	0	0
Morus_000071-R1	YL	0	0	0	0
Morus_000072-R1	FF	4.738869	0	4.738869	-2.5207664426736267
Morus_000072-R1	FR	0	0	0	0
Morus_000072-R1	MF	7.745297	0	7.745297	-3.128507380504987
Morus_000072-R1	ML	14.143404	0	14.143404	-3.9206176319103014
Morus_000072-R1	SD	19.125029	0	19.125029	-4.330918957027713
Morus_000072-R1	YL	29.479779	0	29.479779	-4.929780537194977
Morus_000077-R1	FF	75.548477	29.943404	105.491881	-1.306741761822253
Morus_000077-R1	FR	104.70197	25.30168	130.00365	-2.0067754062881478
Morus_000077-R1	MF	72.584953	14.766398	87.351351	-2.222557688453371
Morus_000077-R1	ML	50.275586	20.801093	71.076679	-1.2338716080772232
Morus_000077-R1	SD	121.546758	26.044173	147.590931	-2.1799426316709773
Morus_000077-R1	YL	66.685711	17.66385	84.349561	-1.8586046837275454
Morus_000078-R3	FF	0	0	0	0
Morus_000078-R3	FR	0	0	0	0
Morus_000078-R3	MF	0	0	0	0
Morus_000078-R3	ML	0	0	0	0
Morus_000078-R3	SD	0	0	0	0
Morus_000078-R3	YL	0	0	0	0
Morus_000079-R1	FF	0	0	0	0
Morus_000079-R1	FR	0	0	0	0
Morus_000079-R1	MF	0	0	0	0
Morus_000079-R1	ML	0	0	0	0
Morus_000079-R1	SD	0	0	0	0
Morus_000079-R1	YL	0	0	0	0
Morus_000080-R1	FF	0	0	0	0
Morus_000080-R1	FR	0	0	0	0
Morus_000080-R1	MF	0	0	0	0
Morus_000080-R1	ML	0	0	0	0
Morus_000080-R1	SD	0	0	0	0
Morus_000080-R1	YL	0	0	0	0
