Orthogroup	d
OG0003743	unknown:defense response; membrane
OG0003744	binding:ATP binding; ATP hydrolysis activity
OG0003746	binding:protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II
OG0003747	binding:chromatin binding
OG0003748	binding:metal ion binding; mRNA binding
OG0003750	binding:protein binding; protein kinase activity; protein phosphorylation; ATP binding
OG0003751	transport:transmembrane transporter activity; endoplasmic reticulum membrane; transmembrane transport
OG0003752	catalytic activity; binding:catalytic activity; nuclease activity; DNA repair; DNA-(apurinic or apyrimidinic site) endonuclease activity; nucleus; base-excision repair; phosphoric diester hydrolase activity; double-stranded DNA 3'-5' DNA exonuclease activity; zinc ion binding
OG0003753	binding:metal ion binding; mRNA binding
OG0003754	unknown:electron transfer activity; plasma membrane
OG0003755	catalytic activity:S-adenosylmethionine-dependent methyltransferase activity
OG0003756	binding:nucleoplasm; DNA replication-dependent chromatin assembly; CENP-A containing chromatin assembly; histone binding; protein binding
OG0003757	transport:SNARE binding; 1-phosphatidylinositol binding; phosphatidylinositol-4,5-bisphosphate binding; clathrin-coated pit; vesicle budding from membrane; clathrin-coated vesicle; clathrin heavy chain binding; clathrin coat assembly; clathrin-dependent endocytosis; phospholipid binding
OG0003758	transport:monoatomic ion channel activity; monoatomic ion transport; membrane; transmembrane transport
OG0003759	binding:cysteine-type deubiquitinase activity; protein deubiquitination; protein binding; zinc ion binding
OG0003760	binding:protein binding; protein homooligomerization
OG0003761	unknown:GTPase activator activity; activation of GTPase activity
OG0003762	binding:iron ion binding; lipid biosynthetic process
OG0003763	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; cytoplasm
OG0003764	binding:protein binding; vernalization response; epigenetic regulation of gene expression
OG0003765	catalytic activity:ethanolamine kinase activity; cytoplasm; phosphatidylethanolamine biosynthetic process
OG0003767	binding:protein binding; cytoplasm; autophagy; response to starvation
OG0003768	binding:protein binding
OG0003769	binding:protein binding
OG0003770	unknown; binding:recombinational repair; ADP binding
OG0003771	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0003774	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0003775	catalytic activity:acyltransferase activity; fatty acid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups
OG0003776	binding:calcium ion binding; protein kinase activity; ATP binding; protein phosphorylation
OG0003777	catalytic activity:hydrolase activity, acting on ester bonds
OG0003778	catalytic activity:nucleus; DNA repair; metallopeptidase activity
OG0003782	binding:lipid binding
OG0003785	unknown; binding:mitochondrion; zinc ion binding
OG0003786	binding:cysteine-type deubiquitinase activity; protein deubiquitination; zinc ion binding
OG0003787	transport:guanyl-nucleotide exchange factor activity; cytosol; vesicle-mediated transport; endocytic vesicle; small GTPase binding
OG0003788	binding:protein kinase activity; protein phosphorylation; ATP binding
OG0003792	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity
OG0003793	binding; unknown:DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; DNA binding; protein dimerization activity
OG0003794	binding:DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; DNA binding; protein dimerization activity
OG0003795	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0003796	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0003798	catalytic activity:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; chloroplast; carotenoid dioxygenase activity; carotene catabolic process
OG0003799	binding:DNA binding; regulation of DNA-templated transcription
OG0003800	binding:calcium ion binding
OG0003801	binding:DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription
OG0003802	unknown:endomembrane system organization
OG0003803	binding:zinc ion binding; RNA binding; RNA modification; intracellular membrane-bounded organelle
OG0003804	unknown:enzyme inhibitor activity
OG0003805	carbohydrate metabolism:trehalose-phosphatase activity; trehalose biosynthetic process
OG0003806	unknown:nucleus
OG0003807	catalytic activity:lipid metabolic process; phospholipase activity
OG0003808	unknown:electron transfer activity; plasma membrane
OG0003809	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0003810	unknown:cytoplasm
OG0003811	binding:nucleotide binding; aminoacyl-tRNA ligase activity; ATP binding; tRNA aminoacylation for protein translation; serine-tRNA ligase activity; seryl-tRNA aminoacylation
OG0003812	binding:protein peptidyl-prolyl isomerization; peptidyl-prolyl cis-trans isomerase activity; cytoplasm; protein folding; cyclosporin A binding
OG0003813	binding:ATP binding
OG0003814	binding:DNA binding; nucleus; regulation of DNA-templated transcription; response to hormone
OG0003815	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; cytoplasm; signal transduction
OG0003816	binding:protein binding; translation initiation factor activity; translational initiation; formation of cytoplasmic translation initiation complex; GDP-dissociation inhibitor activity; cytosol; eukaryotic initiation factor eIF2 binding
OG0003817	binding:SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; protein binding
OG0003818	binding:heat shock protein binding; unfolded protein binding; protein folding; cytoplasm; chloroplast thylakoid membrane; protein refolding; chaperone cofactor-dependent protein refolding
OG0003819	binding:metal ion binding
OG0003820	transport:calcium channel activity; uniporter activity; calcium import into the mitochondrion; mitochondrial calcium ion homeostasis; uniplex complex
OG0003822	signaling:DNA-binding transcription factor activity; regulation of DNA-templated transcription; ethylene-activated signaling pathway; DNA binding
OG0003823	binding:transcription cis-regulatory region binding; transcription coregulator activity; nucleus; regulation of DNA-templated transcription; histone binding
OG0003824	signaling:protein kinase activity; ATP binding; protein phosphorylation; kinetochore; protein serine/threonine kinase activity; protein serine/threonine/tyrosine kinase activity; nucleus; chromosome segregation; mitotic spindle assembly checkpoint signaling; peptidyl-serine phosphorylation; meiotic spindle assembly checkpoint signaling; protein localization to kinetochore
OG0003825	binding:metal ion binding
OG0003827	catalytic activity:tocopherol cyclase activity
OG0003829	catalytic activity:aspartic-type endopeptidase activity; proteolysis
OG0003830	binding:mRNA binding
OG0003831	catalytic activity:metalloendopeptidase activity; cytoplasm; proteolysis; cell adhesion; peptidase activity; membrane
OG0003832	catalytic activity:phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity; inositol-polyphosphate 5-phosphatase activity; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity; phosphatidylinositol dephosphorylation; phosphatase activity
OG0003833	catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation
OG0003835	transport:membrane; transmembrane transport; plasma membrane; monoatomic anion transport; mechanosensitive monoatomic ion channel activity; detection of mechanical stimulus
OG0003836	binding; catalytic activity:double-stranded RNA binding; ribonuclease III activity; nucleus; RNA processing; regulation of gene expression
OG0003838	catalytic activity:glycosyltransferase activity; membrane
OG0003839	catalytic activity:proteolysis; serine-type peptidase activity
OG0003841	binding:protein binding
OG0003842	binding:protein binding; cytoplasm
OG0003844	transport:monoatomic cation transport; antiporter activity; membrane; transmembrane transport; proton transmembrane transport; regulation of pH; endomembrane system; inorganic cation transmembrane transport
OG0003845	catalytic activity:proton motive force-driven ATP synthesis; proton-transporting ATP synthase activity, rotational mechanism
OG0003847	transport:zinc ion transmembrane transporter activity; plasma membrane; membrane; zinc ion transmembrane transport; metal ion transport; metal ion transmembrane transporter activity; transmembrane transport
OG0003850	unknown:chloroplast; chloroplast inner membrane; chloroplast fission
OG0003851	unknown:chromatin organization; heterochromatin formation; nucleus
OG0003852	catalytic activity:serine-type carboxypeptidase activity; proteolysis
OG0003853	signaling:GTPase activity; G protein-coupled receptor signaling pathway; guanyl nucleotide binding; G-protein beta/gamma-subunit complex binding; signal transduction
OG0003855	transport:endoplasmic reticulum; plasma membrane; auxin polar transport; NA; auxin export across the plasma membrane; auxin efflux transmembrane transporter activity; membrane; transmembrane transport
OG0003858	binding:protein binding
OG0003859	catalytic activity:signal peptide processing; membrane; membrane protein proteolysis; aspartic endopeptidase activity, intramembrane cleaving; lumenal side of endoplasmic reticulum membrane; cytoplasmic side of endoplasmic reticulum membrane
OG0003861	transport:exocyst; phosphatidylinositol-4,5-bisphosphate binding; plasma membrane; exocytosis; Golgi to plasma membrane transport
OG0003862	binding:mRNA binding; translation initiation factor activity; eukaryotic translation initiation factor 4F complex; RNA binding; protein binding
OG0003863	binding:nucleotide binding; RNA binding; aspartate-tRNA ligase activity; ATP binding; cytoplasm; cytosol; aspartyl-tRNA aminoacylation; aminoacyl-tRNA synthetase multienzyme complex; aminoacyl-tRNA ligase activity; tRNA aminoacylation for protein translation
OG0003864	binding:electron transfer activity; heme binding
OG0003865	binding:protein kinase activity; ATP binding; protein phosphorylation; kinase activity; phosphorylation; protein binding
OG0003866	binding:monooxygenase activity; chloroplast thylakoid membrane; jasmonic acid biosynthetic process; chloroplast envelope; sterol metabolic process; oxidoreductase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0003868	catalytic activity:helicase activity
OG0003870	catalytic activity:Golgi membrane; galactosyltransferase activity; glycoprotein biosynthetic process; membrane; glycosyltransferase activity; hexosyltransferase activity; beta-1,3-galactosyltransferase activity
OG0003871	binding:DNA binding; protein dimerization activity; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription
OG0003872	transport:protein transport; protein localization
OG0003873	catalytic activity:1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process; transketolase or transaldolase activity
OG0003874	unknown:protein ubiquitination; Cul4A-RING E3 ubiquitin ligase complex
OG0003875	binding:protein binding
OG0003876	binding:protein kinase activity; ATP binding; protein phosphorylation; cyclin-dependent protein kinase holoenzyme complex; protein serine/threonine kinase activity; nucleus; RNA polymerase II CTD heptapeptide repeat kinase activity; positive regulation of transcription elongation by RNA polymerase II; NA
OG0003878	binding:DNA binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity
OG0003879	catalytic activity:jasmonic acid metabolic process; salicylic acid metabolic process; methyl indole-3-acetate esterase activity; methyl salicylate esterase activity; methyl jasmonate esterase activity
OG0003882	binding:zinc ion binding
OG0003883	binding:actin binding; actin cytoskeleton organization; actin nucleation; actin filament binding
OG0003884	binding:protein binding
OG0003886	unknown:cyclin-dependent protein serine/threonine kinase inhibitor activity; negative regulation of cyclin-dependent protein serine/threonine kinase activity; regulation of cell cycle; nucleus
OG0003887	catalytic activity:proteolysis; cysteine-type peptidase activity
OG0003888	binding:microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding
OG0003889	catalytic activity:hydrolase activity
OG0003891	catalytic activity:phosphatidylinositol metabolic process; phosphatidylinositol kinase activity; plasma membrane; 1-phosphatidylinositol-4-phosphate 5-kinase activity; phosphatidylinositol phosphate biosynthetic process
OG0003893	transport:endoplasmic reticulum to cytosol auxin transport; membrane; transmembrane transport
OG0003894	binding:protein kinase activity; ATP binding; protein phosphorylation; G1/S transition of mitotic cell cycle; cyclin-dependent protein kinase holoenzyme complex; protein serine/threonine kinase activity; cyclin-dependent protein serine/threonine kinase activity; nucleus; cytoplasm; signal transduction; response to organic substance; regulation of G2/M transition of mitotic cell cycle; regulation of gene expression; cyclin binding
OG0003896	catalytic activity:fatty acid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups; acyltransferase activity
OG0003898	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0003903	binding:mRNA binding
OG0003904	unknown:structural constituent of ribosome; ribosome; translation; mitochondrial large ribosomal subunit
OG0003905	binding; unknown:mitochondrion; protein binding
OG0003906	binding:RNA binding; nucleic acid binding
OG0003907	binding; catalytic activity:phosphatidylinositol metabolic process; phosphatidylinositol kinase activity; ATP binding; 1-phosphatidylinositol-3-phosphate 5-kinase activity; endosome membrane; phosphatidylinositol phosphate biosynthetic process
OG0003908	binding:protein binding
OG0003909	binding:protein binding; mRNA splicing, via spliceosome; RNA binding; U1 snRNP; mRNA cis splicing, via spliceosome; U2-type prespliceosome
OG0003910	catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity
OG0003911	catalytic activity:nicotinamidase activity; pyridine nucleotide salvage
OG0003912	binding:peroxidase activity; response to oxidative stress; heme binding
OG0003913	binding; unknown:nucleic acid binding; zinc ion binding; preribosome, large subunit precursor; ribosomal large subunit biogenesis
OG0003914	binding:F-actin capping protein complex; barbed-end actin filament capping; cell morphogenesis; actin filament binding
OG0003915	carbohydrate metabolism:xylan biosynthetic process
OG0003916	unknown:nuclear envelope; nuclear membrane organization
OG0003917	catalytic activity:cysteine-type deubiquitinase activity; protein K48-linked deubiquitination; K48-linked deubiquitinase activity
OG0003918	binding:GTPase activity; GTP binding
OG0003919	signaling:protein kinase activity; ATP binding; protein phosphorylation; MAPK cascade; MAP kinase kinase kinase activity; cytoplasm
OG0003920	catalytic activity:mitochondrion; cytosol; iron-sulfur cluster assembly; cysteine desulfurase activity
OG0003922	binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding; receptor serine/threonine kinase binding
OG0003924	binding:endoplasmic reticulum; ubiquitin-dependent protein catabolic process; ubiquitin protein ligase activity; metal ion binding
OG0003925	unknown:structural constituent of ribosome; ribosome; translation; chloroplast envelope
OG0003926	catalytic activity:cytoplasm; glycosyltransferase activity; glycosylation
OG0003927	catalytic activity:tRNA modification; tRNA (guanine(46)-N7)-methyltransferase activity; tRNA methylation; RNA (guanine-N7)-methylation; tRNA methyltransferase complex
OG0003928	unknown:regulation of flower development
OG0003930	transport:peroxisomal membrane; peroxisome organization; zinc ion binding; protein import into peroxisome matrix
OG0003931	binding:2 iron, 2 sulfur cluster binding; cytoplasm; oxidoreductase activity; chlorophyllide a oxygenase [overall] activity
OG0003932	catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process
OG0003933	binding:ubiquitin binding; nucleic acid binding
OG0003934	unknown:autophagosome assembly; endoplasmic reticulum
OG0003937	unknown:positive regulation of growth
OG0003938	catalytic activity:cysteine-type deubiquitinase activity; protein deubiquitination; nucleus; cytosol
OG0003939	unknown:DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription
OG0003940	binding:protein binding; SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
OG0003942	binding:protein binding
OG0003943	catalytic activity:endoplasmic reticulum; Golgi apparatus; protein targeting to membrane; palmitoyltransferase activity; peptidyl-L-cysteine S-palmitoylation; protein-cysteine S-palmitoyltransferase activity
OG0003945	binding:RNA binding; nucleic acid binding
OG0003948	unknown:nuclear membrane
OG0003950	transport:channel activity; membrane; transmembrane transport; water transport; water channel activity
OG0003951	binding:minor groove of adenine-thymine-rich DNA binding; DNA-binding transcription factor activity; nucleus
OG0003953	transport:protein transport
OG0003954	unknown:chloroplast thylakoid membrane
OG0003955	binding:DNA binding; regulation of DNA-templated transcription
OG0003956	catalytic activity:hydrolase activity
OG0003957	catalytic activity:ubiquitin protein ligase activity
OG0003958	binding:3'-5'-RNA exonuclease activity; P-body; mRNA catabolic process; RNA binding; RNA nuclease activity
OG0003959	binding:protein dimerization activity; DNA-binding transcription factor activity; nucleus; guard cell differentiation; stomatal complex development; positive regulation of DNA-templated transcription
OG0003960	signaling:protein binding; gibberellic acid mediated signaling pathway; regulation of gibberellic acid mediated signaling pathway; SCF ubiquitin ligase complex
OG0003961	unknown:hydrotropism
OG0003962	binding:DNA binding; regulation of DNA-templated transcription
OG0003963	signaling:auxin-activated signaling pathway
OG0003964	binding:protein binding
OG0003965	binding:histone deacetylase complex; transcription coregulator activity; regulation of DNA-templated transcription; protein binding
OG0003967	unknown:plasma membrane; kinase inhibitor activity
OG0003968	binding:transcription cis-regulatory region binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of developmental process
OG0003969	unknown:transcription corepressor activity; DNA-templated transcription
OG0003970	binding:transcription cis-regulatory region binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription
OG0003971	catalytic activity:hydrolase activity, acting on ester bonds
OG0003972	carbohydrate metabolism:trehalose biosynthetic process; trehalose-phosphatase activity
OG0003977	transport:phospholipid binding; endosome; plasma membrane; endocytosis; clathrin vesicle coat; clathrin binding
OG0003978	catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity
OG0003980	catalytic activity:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
OG0003981	binding:RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleus; regulation of DNA-templated transcription
OG0003982	unknown:protein ubiquitination
OG0003983	binding:glycine dehydrogenase (decarboxylating) activity; mitochondrion; glycine cleavage complex; glycine catabolic process; chloroplast envelope; glycine binding; glycine decarboxylation via glycine cleavage system; pyridoxal phosphate binding; apoplast
OG0003984	binding:regulation of DNA-templated transcription; sequence-specific DNA binding
OG0003985	catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation
OG0003988	binding:ubiquitin binding
OG0003989	binding:RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleus; regulation of transcription by RNA polymerase II; purine-rich negative regulatory element binding
OG0003990	catalytic activity:acyltransferase activity; dihydrolipoyllysine-residue acetyltransferase activity; acetyl-CoA biosynthetic process from pyruvate; chloroplast thylakoid; chloroplast envelope; pyruvate dehydrogenase complex
OG0003995	binding:protein binding; peptidase activity; metallopeptidase activity
OG0003996	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0003997	unknown:tricarboxylic acid cycle; respiratory chain complex II
OG0003999	binding:protein binding
OG0004000	binding:calcium ion binding; calcium-dependent phospholipid binding; phosphatidylserine binding; cytoplasm; plasma membrane; response to heat; response to cold; response to water deprivation; response to salt stress
OG0004003	transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport
OG0004004	transport:transmembrane transporter activity; transmembrane transport
OG0004005	catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; hydrolase activity, acting on glycosyl bonds
OG0004006	binding:DNA binding; regulation of DNA-templated transcription
OG0004007	catalytic activity:hydrolase activity, acting on ester bonds
OG0004010	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding
OG0004011	unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus
OG0004013	unknown:chloroplast
OG0004014	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus
OG0004015	unknown:nucleus
OG0004016	binding:origin recognition complex; DNA replication origin binding; nucleus; nuclear origin of replication recognition complex; DNA replication
OG0004017	transport:vesicle-mediated transport; intracellular protein transport; clathrin adaptor complex; membrane coat
OG0004020	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding
OG0004022	binding:cytoplasm; nuclear microtubule; microtubule binding; spindle assembly
OG0004023	binding:microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding
OG0004026	transport:proton transmembrane transporter activity; proton-transporting two-sector ATPase complex, proton-transporting domain; proton transmembrane transport
OG0004028	transport:ATP binding; ATP hydrolysis activity; plasma membrane; membrane; ATPase-coupled transmembrane transporter activity; transmembrane transport; ABC-type transporter activity
OG0004029	unknown:protein localization; endomembrane system
OG0004030	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0004031	immune/defense:plasma membrane; defense response to other organism
OG0004032	unknown:cytosol; chloroplast avoidance movement; chloroplast accumulation movement
OG0004033	binding:sarcosine oxidase activity; oxidoreductase activity; flavin adenine dinucleotide binding
OG0004035	binding:RNA binding; nucleic acid binding; mRNA binding; cytosol
OG0004036	catalytic activity:phosphatidate phosphatase activity; cellular lipid metabolic process
OG0004037	unknown:endoplasmic reticulum tubular network; endoplasmic reticulum tubular network organization
OG0004038	binding; catalytic activity:endoplasmic reticulum; N6-threonylcarbomyladenosine methylthiotransferase activity; tRNA methylthiolation; catalytic activity; iron-sulfur cluster binding; methylthiotransferase activity; 4 iron, 4 sulfur cluster binding
OG0004039	transport:mitochondrial outer membrane; voltage-gated monoatomic anion channel activity; monoatomic anion transmembrane transport; transmembrane transport
OG0004040	catalytic activity:cysteine-type deubiquitinase activity; nucleus; cytosol; protein deubiquitination
OG0004041	unknown:membrane
OG0004042	binding:protein binding
OG0004043	transport:metal ion binding; ESCRT I complex; late endosome membrane; multivesicular body assembly; ubiquitin binding; intralumenal vesicle formation
OG0004044	signaling:phosphorelay sensor kinase activity; signal transduction; phosphorelay signal transduction system; plasma membrane; histidine phosphotransfer kinase activity; protein autophosphorylation
OG0004045	binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation; receptor serine/threonine kinase binding
OG0004046	binding:nucleic acid binding; RNA binding; mRNA binding; regulation of translation
OG0004048	binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding
OG0004049	transport:water transport; water channel activity; membrane; channel activity; transmembrane transport
OG0004050	catalytic activity:aminoacyl-tRNA hydrolase activity; mitochondrion; cytosol
OG0004052	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding
OG0004053	binding:protein binding
OG0004055	binding:DNA-binding transcription factor activity; nucleus; sequence-specific DNA binding; positive regulation of DNA-templated transcription; DNA binding; regulation of DNA-templated transcription
OG0004056	catalytic activity:cytoplasm; protein ubiquitination; ubiquitin protein ligase activity
OG0004062	catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity
OG0004063	unknown:mitochondrion; respiratory chain complex IV
OG0004064	binding:acyl binding; acyl carrier activity; mitochondrion; fatty acid biosynthetic process
OG0004065	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0004066	binding; unknown:nuclear membrane; protein binding
OG0004067	unknown:response to aluminum ion; response to acidic pH
OG0004068	binding:fatty-acyl-CoA binding; fatty acid metabolic process
OG0004069	unknown:cytoplasm
OG0004070	binding:SAGA complex; nucleus; transcription factor TFIID complex; DNA-templated transcription initiation; transcription initiation at RNA polymerase II promoter; RNA polymerase II general transcription initiation factor activity; promoter-specific chromatin binding
OG0004072	binding:nucleus; cell differentiation; regulation of DNA-templated transcription; sequence-specific DNA binding
OG0004073	binding:protein binding; mRNA splicing, via spliceosome
OG0004074	binding:DNA binding; regulation of DNA-templated transcription
OG0004075	binding:RNA binding; nucleic acid binding
OG0004076	binding:oxidoreductase activity; FMN binding; NAD(P)H dehydrogenase (quinone) activity; membrane
OG0004077	binding:zinc ion binding; nucleus; regulation of DNA-templated transcription; photomorphogenesis
OG0004078	binding:ATP binding; ATP hydrolysis activity
OG0004079	binding:regulation of nitrogen utilization; enzyme regulator activity; ATP binding; cytosol; chloroplast thylakoid
OG0004080	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0004081	unknown:plasma membrane
OG0004083	catalytic activity:sulfotransferase activity
OG0004085	catalytic activity:polygalacturonase activity; carbohydrate metabolic process
OG0004088	binding:RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; protein dimerization activity
OG0004090	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0004092	binding:DNA binding; regulation of DNA-templated transcription
OG0004093	unknown:endosome; trans-Golgi network; membrane; protein localization to membrane
OG0004094	binding:ubiquitin binding; protein binding
OG0004096	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0004097	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0004100	transport:magnesium ion transmembrane transporter activity; magnesium ion transport
OG0004102	unknown:regulation of transcription by RNA polymerase II; cyclin-dependent protein serine/threonine kinase regulator activity
OG0004103	unknown:SAGA complex; transcription coactivator activity; regulation of transcription by RNA polymerase II; SAGA-type complex
OG0004106	binding:protein binding; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding; regulation of ribosomal protein gene transcription by RNA polymerase II
OG0004107	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; transcription cis-regulatory region binding; nucleus; positive regulation of DNA-templated transcription
OG0004108	unknown:root development; shoot system development
OG0004109	catalytic activity:phosphoric diester hydrolase activity; lipid metabolic process
OG0004111	binding:zinc ion binding; endoplasmic reticulum membrane; ERAD pathway
OG0004112	binding:ubiquitin binding
OG0004113	binding:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; metal ion binding; dimethylallyl diphosphate biosynthetic process; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
OG0004114	catalytic activity:farnesyl-diphosphate farnesyltransferase activity; endoplasmic reticulum membrane; farnesyl diphosphate metabolic process; squalene synthase activity; biosynthetic process
OG0004115	binding:nucleic acid binding
OG0004116	binding:catalytic activity; iron-sulfur cluster binding; tRNA methylation; rRNA base methylation
OG0004117	binding:DNA binding
OG0004118	binding:protein binding
OG0004119	binding:nucleic acid binding; helicase activity; ATP binding; nucleobase-containing compound metabolic process; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; DNA helicase activity; damaged DNA binding; nucleus; transcription by RNA polymerase II; positive regulation of mitotic recombination; DNA binding
OG0004120	binding:protein dimerization activity
OG0004121	binding:transcription corepressor activity; nucleus; regulation of transcription by RNA polymerase II; negative regulation of DNA-templated transcription; transcription regulator activity; DNA binding
OG0004123	binding:GTP binding; chloroplast outer membrane; protein targeting to chloroplast
OG0004124	unknown:ubiquitin-dependent protein catabolic process; proteasome regulatory particle, lid subcomplex; proteasome complex; enzyme regulator activity; regulation of protein catabolic process
OG0004126	transport:intracellular protein transport; vesicle-mediated transport; membrane coat; Golgi membrane; endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum to Golgi vesicle-mediated transport; intra-Golgi vesicle-mediated transport; protein secretion; COPI vesicle coat; structural molecule activity
OG0004128	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity
OG0004129	binding:DNA binding; nucleus; vegetative to reproductive phase transition of meristem
OG0004130	signaling:GTPase activity; G protein-coupled receptor signaling pathway; guanyl nucleotide binding; G-protein beta/gamma-subunit complex binding; signal transduction; G protein-coupled receptor binding; cytoplasm; heterotrimeric G-protein complex; adenylate cyclase-modulating G protein-coupled receptor signaling pathway
OG0004131	binding:cytoplasm; nuclear microtubule; microtubule binding; spindle assembly
OG0004132	binding:oxidoreductase activity; heme binding; iron-sulfur cluster binding
OG0004134	binding:metal ion binding
OG0004135	catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process
OG0004136	binding:DNA binding; chromatin binding; nucleus; negative regulation of gene expression, epigenetic
OG0004137	binding:procollagen-proline 4-dioxygenase activity; endoplasmic reticulum; peptidyl-proline hydroxylation to 4-hydroxy-L-proline; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; L-ascorbic acid binding
OG0004138	catalytic activity:ubiquitin protein ligase activity
OG0004140	binding:protein binding
OG0004141	transport:ATP binding; vacuolar acidification; proton-transporting ATPase activity, rotational mechanism; ATP metabolic process; proton transmembrane transport
OG0004142	transport:magnesium ion transmembrane transporter activity; magnesium ion transport
OG0004144	binding; catalytic activity:DNA clamp loader activity; DNA replication factor C complex; DNA-templated DNA replication; DNA repair; DNA-directed DNA polymerase activity; DNA binding; DNA replication
OG0004145	binding:protein binding; DNA binding; double-stranded DNA binding; transcription coregulator activity; nucleus; regulation of transcription by RNA polymerase II
OG0004147	unknown:guanosine tetraphosphate metabolic process
OG0004148	binding:RNA binding; mRNA binding; cytoplasmic stress granule; stress granule assembly
OG0004149	binding:protein folding; unfolded protein binding
OG0004150	unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription
