Orthogroup	d
OG0000078	binding:protein binding; mRNA binding; electron transfer activity; heme binding; mitochondrion; RNA processing; mitochondrion organization
OG0000079	immune/defense; binding:defense response; defense response to other organism; ADP binding
OG0000080	catalytic activity:lipid droplet; triterpenoid biosynthetic process; intramolecular transferase activity; beta-amyrin synthase activity
OG0000081	catalytic activity:biosynthetic process; acyltransferase activity, transferring groups other than amino-acyl groups; polyketide biosynthetic process; acyltransferase activity
OG0000082	binding; unknown:membrane; protein binding
OG0000083	catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; beta-glucosidase activity
OG0000084	binding:nucleotide binding
OG0000085	immune/defense; binding:defense response; defense response to other organism; ADP binding
OG0000086	catalytic activity:oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
OG0000087	binding:GTP binding; microtubule; microtubule-based process
OG0000088	signaling; binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus; cytoplasm; signal transduction; brassinosteroid mediated signaling pathway; peptidyl-threonine phosphorylation; cell differentiation
OG0000089	catalytic activity:aldo-keto reductase (NADP) activity; cytoplasm
OG0000090	signaling:RNA nuclease activity; mRNA processing; protein kinase activity; ATP binding; protein phosphorylation; RNA endonuclease activity; protein serine/threonine kinase activity; endoplasmic reticulum unfolded protein response; IRE1-mediated unfolded protein response; unfolded protein binding; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; IRE1-TRAF2-ASK1 complex
OG0000091	unknown:DNA integration
OG0000092	unknown; binding; catalytic activity:recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane
OG0000093	binding; signaling:cytoskeletal motor activity; ATP binding; myosin complex; protein binding; microfilament motor activity; cytoplasm; actin filament organization; actin cytoskeleton; membrane; actin filament binding; pollen tube growth; GTPase activator activity; actin filament; intracellular signal transduction; signal transduction; ruffle; ATP hydrolysis activity; lamellipodium; actin filament-based movement; lamellipodium morphogenesis
OG0000094	transport:membrane; transmembrane transport
OG0000097	binding; catalytic activity:terpene synthase activity; lyase activity; magnesium ion binding; terpenoid biosynthetic process
OG0000098	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus
OG0000100	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000102	binding:nucleic acid binding; intracellular membrane-bounded organelle
OG0000105	catalytic activity:catechol oxidase activity; oxidoreductase activity
OG0000106	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000107	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000108	signaling:GTP binding; small GTPase-mediated signal transduction; GTPase activity
OG0000109	transport:potassium ion transport; potassium ion transmembrane transporter activity; membrane; potassium ion transmembrane transport; plasma membrane
OG0000110	binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism
OG0000112	transport:oligopeptide transmembrane transporter activity; transmembrane transport
OG0000113	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0000114	carbohydrate metabolism:catalytic activity; trehalose-phosphatase activity; cytosol; trehalose biosynthetic process
OG0000115	catalytic activity:jasmonic acid metabolic process; salicylic acid metabolic process; methyl indole-3-acetate esterase activity; methyl salicylate esterase activity; methyl jasmonate esterase activity
OG0000116	binding:DNA binding
OG0000119	binding:GTPase activity; GTP binding
OG0000121	transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport
