d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
binding; unknown:signal transduction; protein binding; ADP binding; defense response; cytoplasm	OG0000038	12	15	3	14	6	16	3	17	4	15	4	16	4	17	4	15	4	3	13	4
NA	OG0000039	9	19	7	8	8	12	7	6	8	10	6	19	8	12	7	16	1	8	7	6
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000040	24	8	9	6	10	7	8	8	6	8	9	12	9	7	8	7	8	13	8	7
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; terpene biosynthetic process	OG0000041	16	9	9	8	8	10	9	10	6	10	8	10	9	9	9	8	7	6	8	6
transport:transmembrane transporter activity; membrane; transmembrane transport	OG0000042	10	10	10	9	6	9	9	7	9	8	9	10	10	10	9	11	3	7	6	8
catalytic activity:cysteine-type peptidase activity; proteolysis	OG0000043	9	11	7	11	10	10	4	11	7	10	4	11	10	11	8	10	6	6	11	5
catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity	OG0000044	12	13	7	12	6	9	6	7	7	9	6	14	6	13	6	10	3	9	9	6
unknown:plasma membrane; plant-type secondary cell wall biogenesis	OG0000045	11	10	8	10	9	7	8	9	8	9	8	9	8	9	8	17	0	9	9	0
immune/defense; binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; defense response to bacterium; protein tyrosine kinase activity	OG0000046	16	11	8	9	5	9	5	10	5	9	5	18	8	10	7	13	4	7	8	4
unknown; transport:DNA integration; ATP binding; membrane; transmembrane transport; ABC-type transporter activity; ATPase-coupled transmembrane transporter activity	OG0000047	11	12	12	9	10	10	8	3	3	6	11	11	13	9	11	5	2	8	7	2
unknown:response to auxin	OG0000048	16	7	12	5	9	5	12	8	3	5	12	7	14	7	13	7	5	6	6	5
NA	OG0000049	10	1	16	3	16	2	14	3	12	1	16	2	17	2	16	2	11	5	3	11
binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism	OG0000050	20	11	4	11	4	10	5	9	3	10	5	13	5	11	4	10	4	13	9	3
NA	OG0000051	13	9	7	7	10	6	11	8	6	9	8	11	8	10	7	8	6	5	10	4
NA	OG0000052	14	5	13	6	6	6	10	6	9	5	11	4	13	5	13	5	9	9	3	9
