d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
binding:DNA binding; regulation of DNA-templated transcription	OG0003799	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:calcium ion binding	OG0003800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription	OG0003801	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:endomembrane system organization	OG0003802	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding; RNA binding; RNA modification; intracellular membrane-bounded organelle	OG0003803	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:enzyme inhibitor activity	OG0003804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carbohydrate metabolism:trehalose-phosphatase activity; trehalose biosynthetic process	OG0003805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus	OG0003806	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:lipid metabolic process; phospholipase activity	OG0003807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:electron transfer activity; plasma membrane	OG0003808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0003809	5	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0
unknown:cytoplasm	OG0003810	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleotide binding; aminoacyl-tRNA ligase activity; ATP binding; tRNA aminoacylation for protein translation; serine-tRNA ligase activity; seryl-tRNA aminoacylation	OG0003811	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein peptidyl-prolyl isomerization; peptidyl-prolyl cis-trans isomerase activity; cytoplasm; protein folding; cyclosporin A binding	OG0003812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ATP binding	OG0003813	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; nucleus; regulation of DNA-templated transcription; response to hormone	OG0003814	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; cytoplasm; signal transduction	OG0003815	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1
binding:protein binding; translation initiation factor activity; translational initiation; formation of cytoplasmic translation initiation complex; GDP-dissociation inhibitor activity; cytosol; eukaryotic initiation factor eIF2 binding	OG0003816	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; protein binding	OG0003817	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1
binding:heat shock protein binding; unfolded protein binding; protein folding; cytoplasm; chloroplast thylakoid membrane; protein refolding; chaperone cofactor-dependent protein refolding	OG0003818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0003819	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:calcium channel activity; uniporter activity; calcium import into the mitochondrion; mitochondrial calcium ion homeostasis; uniplex complex	OG0003820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003821	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:DNA-binding transcription factor activity; regulation of DNA-templated transcription; ethylene-activated signaling pathway; DNA binding	OG0003822	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:transcription cis-regulatory region binding; transcription coregulator activity; nucleus; regulation of DNA-templated transcription; histone binding	OG0003823	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:protein kinase activity; ATP binding; protein phosphorylation; kinetochore; protein serine/threonine kinase activity; protein serine/threonine/tyrosine kinase activity; nucleus; chromosome segregation; mitotic spindle assembly checkpoint signaling; peptidyl-serine phosphorylation; meiotic spindle assembly checkpoint signaling; protein localization to kinetochore	OG0003824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0003825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003826	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:tocopherol cyclase activity	OG0003827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003828	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:aspartic-type endopeptidase activity; proteolysis	OG0003829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:mRNA binding	OG0003830	2	1	1	0	2	1	1	0	2	0	1	1	1	1	1	1	1	1	1	1
catalytic activity:metalloendopeptidase activity; cytoplasm; proteolysis; cell adhesion; peptidase activity; membrane	OG0003831	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity; inositol-polyphosphate 5-phosphatase activity; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity; phosphatidylinositol dephosphorylation; phosphatase activity	OG0003832	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation	OG0003833	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003834	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:membrane; transmembrane transport; plasma membrane; monoatomic anion transport; mechanosensitive monoatomic ion channel activity; detection of mechanical stimulus	OG0003835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; catalytic activity:double-stranded RNA binding; ribonuclease III activity; nucleus; RNA processing; regulation of gene expression	OG0003836	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:glycosyltransferase activity; membrane	OG0003838	1	1	1	1	1	1	0	1	1	1	1	1	2	1	2	1	1	1	1	1
catalytic activity:proteolysis; serine-type peptidase activity	OG0003839	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003840	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003841	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; cytoplasm	OG0003842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:monoatomic cation transport; antiporter activity; membrane; transmembrane transport; proton transmembrane transport; regulation of pH; endomembrane system; inorganic cation transmembrane transport	OG0003844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:proton motive force-driven ATP synthesis; proton-transporting ATP synthase activity, rotational mechanism	OG0003845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:zinc ion transmembrane transporter activity; plasma membrane; membrane; zinc ion transmembrane transport; metal ion transport; metal ion transmembrane transporter activity; transmembrane transport	OG0003847	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003848	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chloroplast; chloroplast inner membrane; chloroplast fission	OG0003850	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chromatin organization; heterochromatin formation; nucleus	OG0003851	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:serine-type carboxypeptidase activity; proteolysis	OG0003852	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:GTPase activity; G protein-coupled receptor signaling pathway; guanyl nucleotide binding; G-protein beta/gamma-subunit complex binding; signal transduction	OG0003853	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003854	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1
transport:endoplasmic reticulum; plasma membrane; auxin polar transport; NA; auxin export across the plasma membrane; auxin efflux transmembrane transporter activity; membrane; transmembrane transport	OG0003855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003856	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003857	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003858	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:signal peptide processing; membrane; membrane protein proteolysis; aspartic endopeptidase activity, intramembrane cleaving; lumenal side of endoplasmic reticulum membrane; cytoplasmic side of endoplasmic reticulum membrane	OG0003859	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003860	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:exocyst; phosphatidylinositol-4,5-bisphosphate binding; plasma membrane; exocytosis; Golgi to plasma membrane transport	OG0003861	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:mRNA binding; translation initiation factor activity; eukaryotic translation initiation factor 4F complex; RNA binding; protein binding	OG0003862	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleotide binding; RNA binding; aspartate-tRNA ligase activity; ATP binding; cytoplasm; cytosol; aspartyl-tRNA aminoacylation; aminoacyl-tRNA synthetase multienzyme complex; aminoacyl-tRNA ligase activity; tRNA aminoacylation for protein translation	OG0003863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:electron transfer activity; heme binding	OG0003864	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; kinase activity; phosphorylation; protein binding	OG0003865	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:monooxygenase activity; chloroplast thylakoid membrane; jasmonic acid biosynthetic process; chloroplast envelope; sterol metabolic process; oxidoreductase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0003866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:helicase activity	OG0003868	2	2	0	2	0	2	0	1	1	2	0	2	0	2	0	2	0	1	1	0
NA	OG0003869	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:Golgi membrane; galactosyltransferase activity; glycoprotein biosynthetic process; membrane; glycosyltransferase activity; hexosyltransferase activity; beta-1,3-galactosyltransferase activity	OG0003870	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; protein dimerization activity; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription	OG0003871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:protein transport; protein localization	OG0003872	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process; transketolase or transaldolase activity	OG0003873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:protein ubiquitination; Cul4A-RING E3 ubiquitin ligase complex	OG0003874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; cyclin-dependent protein kinase holoenzyme complex; protein serine/threonine kinase activity; nucleus; RNA polymerase II CTD heptapeptide repeat kinase activity; positive regulation of transcription elongation by RNA polymerase II; NA	OG0003876	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003877	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity	OG0003878	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:jasmonic acid metabolic process; salicylic acid metabolic process; methyl indole-3-acetate esterase activity; methyl salicylate esterase activity; methyl jasmonate esterase activity	OG0003879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003880	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding	OG0003882	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:actin binding; actin cytoskeleton organization; actin nucleation; actin filament binding	OG0003883	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:cyclin-dependent protein serine/threonine kinase inhibitor activity; negative regulation of cyclin-dependent protein serine/threonine kinase activity; regulation of cell cycle; nucleus	OG0003886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:proteolysis; cysteine-type peptidase activity	OG0003887	2	2	0	1	0	2	0	2	0	2	0	2	0	1	1	2	0	1	2	0
binding:microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding	OG0003888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity	OG0003889	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
NA	OG0003890	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:phosphatidylinositol metabolic process; phosphatidylinositol kinase activity; plasma membrane; 1-phosphatidylinositol-4-phosphate 5-kinase activity; phosphatidylinositol phosphate biosynthetic process	OG0003891	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003892	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:endoplasmic reticulum to cytosol auxin transport; membrane; transmembrane transport	OG0003893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; G1/S transition of mitotic cell cycle; cyclin-dependent protein kinase holoenzyme complex; protein serine/threonine kinase activity; cyclin-dependent protein serine/threonine kinase activity; nucleus; cytoplasm; signal transduction; response to organic substance; regulation of G2/M transition of mitotic cell cycle; regulation of gene expression; cyclin binding	OG0003894	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003895	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:fatty acid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups; acyltransferase activity	OG0003896	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003897	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0003898	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003899	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003901	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003902	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:mRNA binding	OG0003903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:structural constituent of ribosome; ribosome; translation; mitochondrial large ribosomal subunit	OG0003904	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:mitochondrion; protein binding	OG0003905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding	OG0003906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; catalytic activity:phosphatidylinositol metabolic process; phosphatidylinositol kinase activity; ATP binding; 1-phosphatidylinositol-3-phosphate 5-kinase activity; endosome membrane; phosphatidylinositol phosphate biosynthetic process	OG0003907	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003908	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; mRNA splicing, via spliceosome; RNA binding; U1 snRNP; mRNA cis splicing, via spliceosome; U2-type prespliceosome	OG0003909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity	OG0003910	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:nicotinamidase activity; pyridine nucleotide salvage	OG0003911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:peroxidase activity; response to oxidative stress; heme binding	OG0003912	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:nucleic acid binding; zinc ion binding; preribosome, large subunit precursor; ribosomal large subunit biogenesis	OG0003913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:F-actin capping protein complex; barbed-end actin filament capping; cell morphogenesis; actin filament binding	OG0003914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carbohydrate metabolism:xylan biosynthetic process	OG0003915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nuclear envelope; nuclear membrane organization	OG0003916	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cysteine-type deubiquitinase activity; protein K48-linked deubiquitination; K48-linked deubiquitinase activity	OG0003917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:GTPase activity; GTP binding	OG0003918	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:protein kinase activity; ATP binding; protein phosphorylation; MAPK cascade; MAP kinase kinase kinase activity; cytoplasm	OG0003919	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:mitochondrion; cytosol; iron-sulfur cluster assembly; cysteine desulfurase activity	OG0003920	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding; receptor serine/threonine kinase binding	OG0003922	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003923	1	1	2	1	1	2	0	0	2	1	0	1	2	1	1	1	1	1	1	1
binding:endoplasmic reticulum; ubiquitin-dependent protein catabolic process; ubiquitin protein ligase activity; metal ion binding	OG0003924	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:structural constituent of ribosome; ribosome; translation; chloroplast envelope	OG0003925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cytoplasm; glycosyltransferase activity; glycosylation	OG0003926	4	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0
catalytic activity:tRNA modification; tRNA (guanine(46)-N7)-methyltransferase activity; tRNA methylation; RNA (guanine-N7)-methylation; tRNA methyltransferase complex	OG0003927	2	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	0	1	1	1
unknown:regulation of flower development	OG0003928	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003929	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:peroxisomal membrane; peroxisome organization; zinc ion binding; protein import into peroxisome matrix	OG0003930	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:2 iron, 2 sulfur cluster binding; cytoplasm; oxidoreductase activity; chlorophyllide a oxygenase [overall] activity	OG0003931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process	OG0003932	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ubiquitin binding; nucleic acid binding	OG0003933	1	2	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	1	1	1
unknown:autophagosome assembly; endoplasmic reticulum	OG0003934	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003935	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003936	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:positive regulation of growth	OG0003937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cysteine-type deubiquitinase activity; protein deubiquitination; nucleus; cytosol	OG0003938	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription	OG0003939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	OG0003940	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003942	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:endoplasmic reticulum; Golgi apparatus; protein targeting to membrane; palmitoyltransferase activity; peptidyl-L-cysteine S-palmitoylation; protein-cysteine S-palmitoyltransferase activity	OG0003943	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding	OG0003945	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003946	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nuclear membrane	OG0003948	1	0	1	1	1	2	1	2	1	2	1	2	1	0	1	0	1	0	1	1
NA	OG0003949	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:channel activity; membrane; transmembrane transport; water transport; water channel activity	OG0003950	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:minor groove of adenine-thymine-rich DNA binding; DNA-binding transcription factor activity; nucleus	OG0003951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:protein transport	OG0003953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chloroplast thylakoid membrane	OG0003954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0003955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity	OG0003956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin protein ligase activity	OG0003957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:3'-5'-RNA exonuclease activity; P-body; mRNA catabolic process; RNA binding; RNA nuclease activity	OG0003958	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein dimerization activity; DNA-binding transcription factor activity; nucleus; guard cell differentiation; stomatal complex development; positive regulation of DNA-templated transcription	OG0003959	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:protein binding; gibberellic acid mediated signaling pathway; regulation of gibberellic acid mediated signaling pathway; SCF ubiquitin ligase complex	OG0003960	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:hydrotropism	OG0003961	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0003962	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:auxin-activated signaling pathway	OG0003963	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:histone deacetylase complex; transcription coregulator activity; regulation of DNA-templated transcription; protein binding	OG0003965	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:plasma membrane; kinase inhibitor activity	OG0003967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:transcription cis-regulatory region binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of developmental process	OG0003968	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:transcription corepressor activity; DNA-templated transcription	OG0003969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:transcription cis-regulatory region binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription	OG0003970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, acting on ester bonds	OG0003971	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carbohydrate metabolism:trehalose biosynthetic process; trehalose-phosphatase activity	OG0003972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003973	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003975	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
